nohup: ignoring input
cuda
Total Trainable Parameters: 26486531
Epoch 1/500, Loss: 0.4971
Epoch 2/500, Loss: 0.3735
Epoch 3/500, Loss: 0.3423
Epoch 4/500, Loss: 0.3257
Epoch 5/500, Loss: 0.3147
Epoch 6/500, Loss: 0.3103
Epoch 7/500, Loss: 0.3031
Epoch 8/500, Loss: 0.2985
Epoch 9/500, Loss: 0.2928
Epoch 10/500, Loss: 0.2885
Epoch 11/500, Loss: 0.2838
Epoch 12/500, Loss: 0.2782
Epoch 13/500, Loss: 0.2739
Epoch 14/500, Loss: 0.2689
Epoch 15/500, Loss: 0.2642
Epoch 16/500, Loss: 0.2573
Epoch 17/500, Loss: 0.2526
Epoch 18/500, Loss: 0.2488
Epoch 19/500, Loss: 0.2451
Epoch 20/500, Loss: 0.2407
Epoch 21/500, Loss: 0.2363
Epoch 22/500, Loss: 0.2339
Epoch 23/500, Loss: 0.2304
Epoch 24/500, Loss: 0.2279
Epoch 25/500, Loss: 0.2249
Epoch 26/500, Loss: 0.2223
Epoch 27/500, Loss: 0.2191
Epoch 28/500, Loss: 0.2172
Epoch 29/500, Loss: 0.2147
Epoch 30/500, Loss: 0.2124
Epoch 31/500, Loss: 0.2101
Epoch 32/500, Loss: 0.2072
Epoch 33/500, Loss: 0.2053
Epoch 34/500, Loss: 0.2024
Epoch 35/500, Loss: 0.2002
Epoch 36/500, Loss: 0.1986
Epoch 37/500, Loss: 0.1954
Epoch 38/500, Loss: 0.1936
Epoch 39/500, Loss: 0.1919
Epoch 40/500, Loss: 0.1893
Epoch 41/500, Loss: 0.1868
Epoch 42/500, Loss: 0.1854
Epoch 43/500, Loss: 0.1837
Epoch 44/500, Loss: 0.1813
Epoch 45/500, Loss: 0.1793
Epoch 46/500, Loss: 0.1769
Epoch 47/500, Loss: 0.1758
Epoch 48/500, Loss: 0.1739
Epoch 49/500, Loss: 0.1718
Epoch 50/500, Loss: 0.1699
Epoch 51/500, Loss: 0.1675
Epoch 52/500, Loss: 0.1657
Epoch 53/500, Loss: 0.1637
Epoch 54/500, Loss: 0.1625
Epoch 55/500, Loss: 0.1608
Epoch 56/500, Loss: 0.1591
Epoch 57/500, Loss: 0.1575
Epoch 58/500, Loss: 0.1557
Epoch 59/500, Loss: 0.1549
Epoch 60/500, Loss: 0.1529
Epoch 61/500, Loss: 0.1516
Epoch 62/500, Loss: 0.1497
Epoch 63/500, Loss: 0.1493
Epoch 64/500, Loss: 0.1477
Epoch 65/500, Loss: 0.1465
Epoch 66/500, Loss: 0.1457
Epoch 67/500, Loss: 0.1440
Epoch 68/500, Loss: 0.1424
Epoch 69/500, Loss: 0.1411
Epoch 70/500, Loss: 0.1403
Epoch 71/500, Loss: 0.1398
Epoch 72/500, Loss: 0.1383
Epoch 73/500, Loss: 0.1384
Epoch 74/500, Loss: 0.1361
Epoch 75/500, Loss: 0.1357
Epoch 76/500, Loss: 0.1351
Epoch 77/500, Loss: 0.1349
Epoch 78/500, Loss: 0.1327
Epoch 79/500, Loss: 0.1319
Epoch 80/500, Loss: 0.1315
Epoch 81/500, Loss: 0.1308
Epoch 82/500, Loss: 0.1297
Epoch 83/500, Loss: 0.1284
Epoch 84/500, Loss: 0.1274
Epoch 85/500, Loss: 0.1272
Epoch 86/500, Loss: 0.1267
Epoch 87/500, Loss: 0.1252
Epoch 88/500, Loss: 0.1255
Epoch 89/500, Loss: 0.1243
Epoch 90/500, Loss: 0.1235
Epoch 91/500, Loss: 0.1235
Epoch 92/500, Loss: 0.1223
Epoch 93/500, Loss: 0.1216
Epoch 94/500, Loss: 0.1207
Epoch 95/500, Loss: 0.1206
Epoch 96/500, Loss: 0.1204
Epoch 97/500, Loss: 0.1197
Epoch 98/500, Loss: 0.1188
Epoch 99/500, Loss: 0.1182
Epoch 100/500, Loss: 0.1176
Epoch 101/500, Loss: 0.1170
Epoch 102/500, Loss: 0.1287
Epoch 103/500, Loss: 0.1280
Epoch 104/500, Loss: 0.1266
Epoch 105/500, Loss: 0.1264
Epoch 106/500, Loss: 0.1256
Epoch 107/500, Loss: 0.1252
Epoch 108/500, Loss: 0.1242
Epoch 109/500, Loss: 0.1233
